Line,From,To,TimeSec
1,용산,남영,1분 50초
1,남영 ,서울역,2분
1,서울역,시청,2분
1,시청,종각,1분 40초
1,종각,종로3가,1분 30초
1,종로3가,종로5가,1분 30초
1,종로5가,동대문,1분 30초
1,동대문,동묘앞,1분 20초
1,동묘앞,신설동,1분 20초
1,신설동,제기동,1분 30초
1,제기동,청량리,1분 40초
2,당산,합정,2분 50초
2,합정,홍대입구,1분 40초
2,홍대입구,신촌,1분 50초
2,신촌,이대,1분 30초
2,이대,아현,1분 30초
2,아현,충정로,1분 30초
2,충정로,시청,1분 50초
2,시청,을지로 입구,1분 30초
2,을지로 입구,을지로 3가,1분 30초
2,을지로 3가,을지로 4가,1분 20초
2,을지로 4가,동대문역사문화공원,1분 40초
2,동대문역사문화공원,신당,1분 40초
2,신당,상왕십리,1분 40초
2,상왕십리,왕십리,1분 30초
2,왕십리,한양대,1분 40초
3,경북궁,안국,1분 40초
3,안국,종로3가,1분 30초
3,종로3가,을지로3가,1분 10초
3,을지로3가,충무로,1분 20초
3,충무로,동대입구,1분 40초
3,동대입구,약수,1분 30초
3,약수,금호,1분 30초
3,금호,옥수,1분 30초
4,이촌,신용산,1분 40초
4,신용산,삼각지,1분 30초
4,삼각지,숙대입구,1분 40초
4,숙대입구,서울역,1분 40초
4,서울역,회현,1분 30초
4,회현,명동,1분 30초
4,명동,충무로,1분 20초
4,충무로,동대문역사문화공원,1분 40초
4,동대문역사문화공원,동대문,1분 30초
4,동대문,혜화,1분 30초
5,마포,공덕,1분 40초
5,공덕,애오개,1분 50초
5,애오개,충정로,1분 40초
5,충정로,서대문,1분 30초
5,서대문,광화문,2분
5,광화문,종로3가,1분 40초
5,종로3가,을지로4가,1분 30초
5,을지로4가,동대문역사문화공원,1분 30초
5,동대문역사문화공원,청구,1분 40초
5,청구,신금호,1분 40초
5,신금호,행당,1분 40초
5,행당,왕십리,1분 40초
5,왕십리,마장,1분 40초
6,망원,합정,1분 40초
6,합정,상수,1분 40초
6,상수,광흥창,1분 40초
6,광흥창,대흥,1분 40초
6,대흥,공덕,1분 50초
6,공덕,효창공원앞,1분 40초
6,효창공원앞,삼각지,2분 10초
6,삼각지,녹사평,1분 50초
6,녹사평,이태원,1분 30초
6,이태원,한강진,1분 40초
6,한강진,버티고개,1분 50초
6,버티고개,약수,1분 30초
6,약수,청구,1분 30초
6,청구,신당,1분 30초
6,신당,동묘앞,1분 40초
6,동묘앞,창신,1분 30초
